order: 3
dx,L1,L2,Linf
0.2,0.0016577818564351475,0.0004984404983793644,0.00021059685802788942
0.1,0.00021059685802788942,0.00021059685802788942,1.4991550222775984e-5
0.05,1.4991550222775984e-5,4.31551036973007e-6,9.015856080318851e-7
0.025,






order: 3
dx,L1,L2,Linf
0.2,0.0018674224552978737,0.0005430570302572218,0.00025035438835185886
0.1,0.0002646619559165564,5.438321052573792e-5,1.7047192039476577e-5
0.05,2.940259924600896e-5,5.239664540860314e-6,1.6881585246542043e-6
0.025,






order: 4
dx,L1,L2,Linf
0.2,0.00016753586299407265,4.398473082560475e-5,1.7678730705861235e-5
0.1,4.953365256705755e-5,7.786533823765612e-5,2.013434076370002e-5
0.05,1.2134526708534875e-5,1.7352386357732913e-6,3.5886035887333634e-7


0.0008
